model:DOOV+V1 | brand:DOOV | version:4.4.4
model:IUNI+U810 | brand:IUNI | version:4.4.2
model:Hisense+E622M | brand:Hisense | version:4.4.4
model:A31u | brand:OPPO | version:4.4.4
model:TFTC-B+N968 | brand:QINGHUATONGFANG | version:4.4.2
model:HTC+D626w | brand:htc | version:4.4.4
model:HTC+9088 | brand:htc | version:4.4.2
model:SCH-I959 | brand:samsung | version:4.4.2
model:K-Touch+E8 | brand:qcom | version:4.4.4
model:Bird+L5 | brand:Bird | version:4.4.4
model:Q4T10IN | brand:QILIVE | version:4.4.2
model:Lenovo+2+A7-30HC | brand:Lenovo | version:4.4.2
model:HTC+Desire+601 | brand:htc | version:4.4.2
model:Lenovo+A320t | brand:Lenovo | version:4.4.2
model:HTC+D816 | brand:htc | version:4.4.2
model:Lenovo+K920 | brand:Lenovo | version:4.4.2
model:7+Plus | brand:1Phone | version:4.4.2
model:Coolpad+S6-NT | brand:Coolpad | version:4.4.4
model:%E3%80%80%E3%80%80 | brand:Coolpad | version:4.4.2
model:Lenovo+A6800 | brand:Lenovo | version:4.4.4
model:R8007 | brand:OPPO | version:4.3
model:Coolpad+9976A | brand:Coolpad | version:4.4.2
model:HTC+One+mini+2 | brand:htc | version:4.4.2
model:OUKI+G7 | brand:OUKI | version:4.4.4
model:HTC+919d | brand:htc | version:4.4.2
model:GT-I9300I | brand:samsung | version:4.4.4
model:Coolpad+K1-NT | brand:Coolpad | version:4.4.4
model:Lingwin | brand:Lingwin | version:4.4.2
model:PARA7+%E6%81%B0%E6%84%8F | brand:IAKO | version:4.4.2
model:CKCOM_C1 | brand:CKCOM | version:4.4.4
model:Hisense+I632M | brand:Hisense | version:4.4.4
model:Che1-CL20 | brand:Honor | version:4.4.4
model:Che1-CL10 | brand:Honor | version:4.4.4
model:L50t | brand:Sony | version:4.4.4
model:MZ73 | brand:UnisCom | version:4.4.2
model:KONKA+L810 | brand:KONKA+L810 | version:4.4.3
model:T3482 | brand:EBEST | version:4.4.2
model:SM-G3589W | brand:samsung | version:4.4.2
model:S9%2B | brand:LHCX | version:4.4.2
model:A25 | brand:IAIWAI | version:4.4.2
model:IM-A890L | brand:VEGA | version:4.4.2
model:DATANG+S62L | brand:DATANG | version:4.4.4
model:HUAWEI+C8818 | brand:Huawei | version:4.4.4
model:U30 | brand:Allwinner | version:4.4.4
model:H30-C00 | brand:Huawei | version:4.3
model:M463C | brand:Meizu | version:4.4.4
model:SAMSUNG_T905 | brand:SAMSUNG | version:4.4.2
model:F999 | brand:F999 | version:4.4.3
model:Coolpad+8297-T02 | brand:Coolpad | version:4.4.4
model:ETON+I7 | brand:ETON | version:4.4.4
model:U25GT-C4W | brand:CUBE | version:4.4.2
model:Ctyon-A8 | brand:Ctyon-A8 | version:4.4.4
model:Lenovo+A606 | brand:Lenovo | version:4.4.2
model:Lenovo+A820 | brand:Lenovo | version:4.1.2
model:HUAWEI+MT7-UL00 | brand:Huawei | version:4.4.2
model:R819T | brand:OPPO | version:4.2.1
model:LA6-L | brand:YUSUN | version:4.4.4
model:E82L | brand:Pioneer | version:4.4.4
model:H60-L01 | brand:Huawei | version:4.4.2
model:T1-A21L | brand:Orange | version:4.4.4
model:6s+Plus | brand:1Phone | version:4.4.2
model:OPPO+R7 | brand:OPPO | version:4.4.4
model:Readboy_G500 | brand:readboy | version:4.4.4
model:G620S-L02 | brand:Huawei | version:4.4.4
model:Hisense+M20-T | brand:Hisense | version:4.4.4
model:DOOV+L3C | brand:DOOV | version:4.4.4
model:X3 | brand:unistar | version:4.4.2
model:Nexus+5 | brand:google | version:4.4.4
model:X50 | brand:SHARE+PHONE | version:4.4.2
model:Coolpad+8715 | brand:ChinaMobile | version:4.4.2
model:H60-L03 | brand:Huawei | version:4.4.2
model:S100 | brand:koobee | version:4.4.4
model:DB6PLUS | brand:%E8%9D%B6%E5%8F%98 | version:4.4.2
model:Lenovo+P780 | brand:Lenovo | version:4.4.2
model:KINGSUN-F | brand:KINGSUN | version:4.4.4
model:MALATA+S520-H | brand:alps | version:4.4.4
model:S308 | brand:CUBOT | version:4.4
model:Coolpad+8029 | brand:Coolpad | version:4.4.4
model:D70M5 | brand:D70M5 | version:4.4.4
model:MX4+Pro | brand:Meizu | version:4.4.4
model:Lenovo+A858 | brand:Lenovo | version:4.4.4
model:KT107 | brand:%E6%B8%85%E5%8D%8E%E5%90%8C%E6%96%B9 | version:4.4.2
model:HUAWEI+P6-T00 | brand:Huawei | version:4.4.2
model:D6708 | brand:verizon | version:4.4.4
model:V801s+Core4 | brand:ONDA | version:4.4.2
model:H2 | brand:koobee | version:4.4.4
model:X99+%E5%85%AB%E6%A0%B8 | brand:Teclast | version:4.4.2
model:HUAWEI+Y511-T00 | brand:HUAWEI | version:4.2.2
model:HUAWEI+G629-UL00 | brand:HUAWEI | version:4.4.4
model:D557 | brand:KONKA | version:4.4.4
model:SUGAR_2 | brand:SUGAR | version:4.4.4
model:F7S | brand:NOMI | version:4.4.4
model:Lenovo+B6000-F | brand:Lenovo | version:4.4.2
model:TCL+P360W | brand:TCL | version:4.4.2
model:HUAWEI+Y523-L076 | brand:HUAWEI | version:4.4.2
model:LG-F520S | brand:lge | version:4.4.2
model:L90 | brand:LOGO | version:4.4.4
model:NX403A | brand:nubia | version:4.4.2
model:HM+NOTE+1LTE | brand:Xiaomi | version:4.4.4
model:SM-G3559 | brand:samsung | version:4.4.2
model:HM+NOTE+1LTE | brand:Xiaomi | version:4.4.6
model:F666 | brand:F666 | version:4.4.3
model:HTC+D816t | brand:htc | version:4.4.2
model:MI+3W | brand:Xiaomi | version:4.4.4
model:MI+3W | brand:Xiaomi | version:4.4.2
model:MI+3W | brand:Xiaomi | version:4.4.3
model:MX4 | brand:Meizu | version:4.4.2
model:TCL+P335M | brand:TCL | version:4.4.4
model:ZTE+Q509T | brand:ZTE | version:4.4.4
model:Coolpad+9976D | brand:Coolpad | version:4.4.2
model:A11 | brand:OPPO | version:4.4.4
model:ik7 | brand:ik | version:4.4.2
